term,docid,tf_in_doc,tf_idf,idf
toth,7,1,0.00033160356699991764,3.2188758248682006
toth,12,1,0.00027912554846238295,3.2188758248682006
toth,16,1,0.0004273600404763941,3.2188758248682006
theperiod,3,1,0.0002164147311432629,3.044522437723423
summar,3,6,0.0014912599778787944,3.4965075614664802
summar,6,3,0.001421344537181496,3.4965075614664802
summar,7,7,0.0025214332883759516,3.4965075614664802
summar,8,3,0.0018179415397572688,3.4965075614664802
summar,9,5,0.004975110360652362,3.4965075614664802
summar,10,2,0.0011394842957361839,3.4965075614664802
summar,11,8,0.004666676758714021,3.4965075614664802
summar,12,2,0.000606400895155477,3.4965075614664802
summar,14,1,0.0011709670333109445,3.4965075614664802
summar,16,4,0.0018568813390687625,3.4965075614664802
summar,17,1,0.001309063107999431,3.4965075614664802
summar,18,7,0.0009416209337231316,3.4965075614664802
summar,19,1,0.0007540451933289801,3.4965075614664802
papersinclud,3,2,0.0004328294622865258,3.044522437723423
biif,3,1,0.0002164147311432629,3.044522437723423
flag,3,1,0.0002164147311432629,3.044522437723423
proport,3,2,0.0004685579849309538,3.295836866004329
proport,11,2,0.0010997120006687785,3.295836866004329
proport,12,1,0.0002857992426295811,3.295836866004329
proport,14,1,0.0011037631835245575,3.295836866004329
proport,15,1,0.0008951213650201871,3.295836866004329
proport,18,1,0.00012679709406395297,3.295836866004329
proport,20,1,0.001390061942642062,3.295836866004329
fairli,3,2,0.0004394430556380887,3.091042453358316
fairli,14,1,0.0010351783165968907,3.091042453358316
stabl,3,1,0.00023159628504559865,3.258096538021482
stabl,7,1,0.0003356440236964543,3.258096538021482
stabl,8,1,0.0005646614450643817,3.258096538021482
stabl,12,1,0.0002825265815141764,3.258096538021482
stabl,16,34,0.014707286549751779,3.258096538021482
stabl,18,2,0.0002506903041604649,3.258096538021482
wealso,3,1,0.0002164147311432629,3.044522437723423
book,3,5,0.0010820736557163148,3.044522437723423
els,3,1,0.00021972152781904434,3.091042453358316
els,18,3,0.0003567547939858788,3.091042453358316
referenc,3,3,0.0006492441934297888,3.044522437723423
front,3,1,0.00022590658447170498,3.1780538303479458
front,18,1,0.00012226575733266442,3.1780538303479458
front,19,1,0.0006853685206702492,3.1780538303479458
front,20,1,0.001340385419800905,3.1780538303479458
matter,3,1,0.00022880834694826558,3.2188758248682006
matter,8,1,0.0005578640944312307,3.2188758248682006
matter,11,1,0.0005370163204651653,3.2188758248682006
matter,18,6,0.0007430175412306854,3.2188758248682006
matter,20,1,0.0013576026254188951,3.2188758248682006
doij,3,1,0.0002164147311432629,3.044522437723423
ijforecast,3,1,0.0002164147311432629,3.044522437723423
tel,3,2,0.0004394430556380887,3.091042453358316
tel,14,1,0.0010351783165968907,3.091042453358316
fax,3,2,0.0004457626124437233,3.1354942159291497
fax,18,1,0.00012062840826103758,3.1354942159291497
fax,20,1,0.0013224353504551454,3.1354942159291497
jgdegooij,3,1,0.0002164147311432629,3.044522437723423
uvan,3,1,0.0002164147311432629,3.044522437723423
ljgdegooij,3,1,0.0002164147311432629,3.044522437723423
robhyndm,3,1,0.0002164147311432629,3.044522437723423
anbusecom,3,1,0.0002164147311432629,3.044522437723423
onashedu,3,1,0.0002164147311432629,3.044522437723423
aurjhyndman,3,1,0.0002164147311432629,3.044522437723423
wwwelseviercomlocateijforecastcompris,3,1,0.0002164147311432629,3.044522437723423
